mm10_ENSMUSG00000099878	mm10_Gm28178
mm10_ENSMUSG00000043015	mm10_Tmem194b
mm10_ENSMUSG00000041439	mm10_Mfsd6
mm10_ENSMUSG00000026102	mm10_Inpp1
mm10_ENSMUSG00000041426	mm10_Hibch
mm10_ENSMUSG00000043629	mm10_1700019D03Rik
mm10_ENSMUSG00000026100	mm10_Mstn
mm10_ENSMUSG00000060715	mm10_1700019A02Rik
mm10_ENSMUSG00000026098	mm10_Pms1
mm10_ENSMUSG00000100763	mm10_Gm28777
mm10_ENSMUSG00000026097	mm10_Ormdl1
mm10_ENSMUSG00000100679	mm10_Gm28778
mm10_ENSMUSG00000026096	mm10_Osgepl1
mm10_ENSMUSG00000099913	mm10_Gm28551
mm10_ENSMUSG00000026095	mm10_Asnsd1
mm10_ENSMUSG00000096141	mm10_Dnah7a
mm10_ENSMUSG00000026094	mm10_Stk17b
mm10_ENSMUSG00000042807	mm10_Hecw2
mm10_ENSMUSG00000025983	mm10_Ccdc150
mm10_ENSMUSG00000041303	mm10_Gtf3c3
mm10_ENSMUSG00000073678	mm10_Pgap1
mm10_ENSMUSG00000052331	mm10_Ankrd44
mm10_ENSMUSG00000101674	mm10_4930444A19Rik
mm10_ENSMUSG00000025982	mm10_Sf3b1
mm10_ENSMUSG00000025981	mm10_Coq10b
mm10_ENSMUSG00000025980	mm10_Hspd1
mm10_ENSMUSG00000073676	mm10_Hspe1
mm10_ENSMUSG00000025979	mm10_Mob4
mm10_ENSMUSG00000025978	mm10_Rftn2
mm10_ENSMUSG00000097649	mm10_Gm10561
mm10_ENSMUSG00000046994	mm10_Mars2
mm10_ENSMUSG00000025977	mm10_Boll
mm10_ENSMUSG00000038349	mm10_Plcl1
mm10_ENSMUSG00000099950	mm10_9130227L01Rik
mm10_ENSMUSG00000100372	mm10_1700003I22Rik
mm10_ENSMUSG00000101332	mm10_Gm28240
mm10_ENSMUSG00000045336	mm10_Hsfy2
mm10_ENSMUSG00000038331	mm10_Satb2
mm10_ENSMUSG00000099945	mm10_1700126A01Rik
mm10_ENSMUSG00000101429	mm10_BC055402
mm10_ENSMUSG00000097519	mm10_4930558J18Rik
mm10_ENSMUSG00000038323	mm10_1700066M21Rik
mm10_ENSMUSG00000048495	mm10_Tyw5
mm10_ENSMUSG00000025971	mm10_9430016H08Rik
mm10_ENSMUSG00000038305	mm10_Spats2l
mm10_ENSMUSG00000091283	mm10_Gm17234
mm10_ENSMUSG00000054770	mm10_Kctd18
mm10_ENSMUSG00000026039	mm10_Sgol2a
mm10_ENSMUSG00000063558	mm10_Aox1
mm10_ENSMUSG00000064294	mm10_Aox3
mm10_ENSMUSG00000038242	mm10_Aox4
mm10_ENSMUSG00000089822	mm10_Gm15759
mm10_ENSMUSG00000079554	mm10_Aox2
mm10_ENSMUSG00000051223	mm10_Bzw1
mm10_ENSMUSG00000026034	mm10_Clk1
mm10_ENSMUSG00000026035	mm10_Ppil3
mm10_ENSMUSG00000026036	mm10_Nif3l1
mm10_ENSMUSG00000026037	mm10_Orc2
mm10_ENSMUSG00000085054	mm10_Gm15834
mm10_ENSMUSG00000038174	mm10_Fam126b
mm10_ENSMUSG00000026032	mm10_Ndufb3
mm10_ENSMUSG00000047528	mm10_Als2cr12
mm10_ENSMUSG00000026031	mm10_Cflar
mm10_ENSMUSG00000026029	mm10_Casp8
mm10_ENSMUSG00000026028	mm10_Trak2
mm10_ENSMUSG00000026027	mm10_Stradb
mm10_ENSMUSG00000099752	mm10_Gm29018
mm10_ENSMUSG00000072295	mm10_Als2cr11
mm10_ENSMUSG00000038079	mm10_Tmem237
mm10_ENSMUSG00000097573	mm10_G730003C15Rik
mm10_ENSMUSG00000079550	mm10_Mpp4
mm10_ENSMUSG00000101586	mm10_Gm29017
mm10_ENSMUSG00000026024	mm10_Als2
mm10_ENSMUSG00000026023	mm10_Cdk15
mm10_ENSMUSG00000099922	mm10_Gm29016
mm10_ENSMUSG00000041075	mm10_Fzd7
mm10_ENSMUSG00000097819	mm10_Gm26813
mm10_ENSMUSG00000047361	mm10_Gm973
mm10_ENSMUSG00000099811	mm10_Gm28411
mm10_ENSMUSG00000101409	mm10_1700122D07Rik
mm10_ENSMUSG00000026021	mm10_Sumo1
mm10_ENSMUSG00000026020	mm10_Nop58
mm10_ENSMUSG00000067336	mm10_Bmpr2
mm10_ENSMUSG00000041040	mm10_Fam117b
mm10_ENSMUSG00000026018	mm10_Ica1l
mm10_ENSMUSG00000026019	mm10_Wdr12
mm10_ENSMUSG00000026017	mm10_Carf
mm10_ENSMUSG00000073664	mm10_Nbeal1
mm10_ENSMUSG00000049439	mm10_Cyp20a1
mm10_ENSMUSG00000026782	mm10_Abi2
mm10_ENSMUSG00000026014	mm10_Raph1
mm10_ENSMUSG00000026012	mm10_Cd28
mm10_ENSMUSG00000086795	mm10_Gm11579
mm10_ENSMUSG00000085965	mm10_2310016D23Rik
mm10_ENSMUSG00000026011	mm10_Ctla4
mm10_ENSMUSG00000026009	mm10_Icos
mm10_ENSMUSG00000100893	mm10_Gm28083
mm10_ENSMUSG00000085248	mm10_Gm11587
mm10_ENSMUSG00000085447	mm10_9530026F06Rik
mm10_ENSMUSG00000086408	mm10_Gm11588
mm10_ENSMUSG00000100965	mm10_Gm28449
mm10_ENSMUSG00000086009	mm10_4930587A21Rik
mm10_ENSMUSG00000052062	mm10_Pard3b
mm10_ENSMUSG00000085842	mm10_Pard3bos1
mm10_ENSMUSG00000085019	mm10_Pard3bos2
mm10_ENSMUSG00000085400	mm10_Pard3bos3
mm10_ENSMUSG00000100750	mm10_Gm29084
mm10_ENSMUSG00000025969	mm10_Nrp2
mm10_ENSMUSG00000100811	mm10_Gm29083
mm10_ENSMUSG00000100426	mm10_Gm4208
mm10_ENSMUSG00000040865	mm10_Ino80d
mm10_ENSMUSG00000084799	mm10_Ino80dos
mm10_ENSMUSG00000101599	mm10_Gm20342
mm10_ENSMUSG00000025968	mm10_Ndufs1
mm10_ENSMUSG00000025967	mm10_Eef1b2
mm10_ENSMUSG00000046856	mm10_Gpr1
mm10_ENSMUSG00000087561	mm10_Gm11608
mm10_ENSMUSG00000027520	mm10_Zdbf2
mm10_ENSMUSG00000025964	mm10_Adam23
mm10_ENSMUSG00000069085	mm10_Dytn
mm10_ENSMUSG00000025963	mm10_Mdh1b
mm10_ENSMUSG00000025962	mm10_Fastkd2
