"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Gm6274",7.51001071803146e-20,2.05970437605333,1,1,2.7601542391981e-15
"Gm16216",7.81030105141717e-20,3.32133069239008,1,0.931,2.87051994542735e-15
"Gm15682",7.81719950277879e-20,3.03747013887463,1,0.966,2.87305533325629e-15
"Gm15464",7.81796635559669e-20,2.768780477307,1,1,2.87333717467245e-15
"Hmgn1",7.81796635559669e-20,2.45466043370643,1,1,2.87333717467245e-15
"Gm13196",8.1304253699325e-20,3.10082121569855,1,0.931,2.98817523621129e-15
"Gm6807",8.13839731343707e-20,2.76373402653538,1,1,2.99110516460753e-15
"Mapk1ip1l",8.13839731343707e-20,2.69741010104481,1,1,2.99110516460753e-15
"Sub1",8.13839731343707e-20,2.2605297266148,1,1,2.99110516460753e-15
"Ywhae",8.13839731343707e-20,2.24049505506619,1,1,2.99110516460753e-15
"Cct3-ps1",8.47180264092437e-20,3.41683327632639,0.987,1,3.11364162461893e-15
"Ddb1",8.47180264092437e-20,2.54263925484478,1,1,3.11364162461893e-15
"Rps27l",8.47180264092437e-20,1.84198890637815,1,1,3.11364162461893e-15
"Gm13549",8.62613662365751e-20,3.75724735884419,0.949,0.328,3.17036399329285e-15
"Acta1",9.05300721555221e-20,12.4022868374514,0.975,0.603,3.3272517419319e-15
"Pea15a",9.32795884889935e-20,12.8852434801877,0.886,0.086,3.42830471573598e-15
"Actr2",9.55515553371931e-20,2.41516766910738,1,1,3.51180631330786e-15
"Gm11878",9.55515553371931e-20,2.5965785339448,1,1,3.51180631330786e-15
"Gm16200",9.55515553371931e-20,2.49651090376303,1,1,3.51180631330786e-15
"Srp19",9.55515553371931e-20,2.57610752572151,1,1,3.51180631330786e-15
"Gm13675",9.94197494495609e-20,3.65688041978948,1,0.948,3.65397405151971e-15
"Gm11516",9.94585460971062e-20,3.15880430634484,1,1,3.65539994470694e-15
"Gm12070",9.94585460971062e-20,2.67456660548718,1,0.983,3.65539994470694e-15
"Gm13192",9.94585460971062e-20,2.46192844773618,1,1,3.65539994470694e-15
"Psmb2",9.94585460971062e-20,2.12107023035167,1,1,3.65539994470694e-15
"Gm8325",1.03523346654417e-19,3.0452539917329,1,0.983,3.8047935595898e-15
"Gm10087",1.06752798293964e-19,3.44585155365929,0.962,0.207,3.92348559569805e-15
"Gm11572",1.07814636705665e-19,3.53220009720306,1,0.707,3.96251134284332e-15
"Dynlt1-ps1",1.16728794867673e-19,1.81924370072003,1,1,4.29013339777157e-15
"Gm5121",1.16728794867673e-19,2.2218367472095,1,1,4.29013339777157e-15
"Ybx3",1.26443660005429e-19,2.807690241466,1,1,4.64718383617953e-15
"Gng3",1.31022795611207e-19,5.34023616945362,0.949,0.621,4.81548080709871e-15
"2210409E12Rik",1.31171965184389e-19,-4.1734156608413,0.342,0.983,4.82096323642184e-15
"Gm5292",1.31545514561987e-19,3.12210105003408,1,0.948,4.83469229669672e-15
"Gm12231",1.31596507678961e-19,2.27923365953392,1,1,4.83656644672486e-15
"Gm6419",1.31596507678961e-19,2.40692719162916,1,1,4.83656644672486e-15
"Xlr3c",1.36555677299697e-19,-5.34094717077405,0.025,0.81,5.01883080779575e-15
"Tpm1",1.36956775233649e-19,8.12792984752055,1,0.983,5.0335723601623e-15
"Dcun1d5",1.42532706214664e-19,2.86863466774742,1,1,5.23850455150755e-15
