"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Arpp19",4.80923180602917e-07,0.652078396406493,1,1,0.017675369656699
"Afap1l2",4.82930734937477e-07,0.375725278953783,0.582,0.155,0.0177491533011571
"Fosl2",4.85065920797107e-07,0.281879299294218,0.443,0.052,0.0178276277870561
"Rnf141",5.04689397025236e-07,0.463543858796267,0.785,0.379,0.0185488494088685
"Rusc2",5.09234425113211e-07,-0.425624866462965,0.38,0.759,0.0187158928261859
"Slc25a40",5.10613095888115e-07,0.837565389107862,0.924,0.552,0.0187665631131759
"Fut10",5.12549144964255e-07,-0.499558623643671,0.228,0.621,0.0188377187248713
"Pcgf3",5.142796323495e-07,0.542957480417543,0.975,0.931,0.0189013193277412
"Dtymk",5.14828957861443e-07,-0.846234140641018,1,1,0.0189215086882816
"Klhl23",5.15357366042719e-07,0.339820024669636,0.759,0.293,0.0189409292741681
"Gm2381",5.2082521906625e-07,-0.561287936495466,0.835,1,0.0191418892763419
"Mlf1",5.21496876490546e-07,0.279327473849009,0.57,0.138,0.019166574701657
"Cnot1",5.26634657654188e-07,-0.939281947216945,1,1,0.0193554035727644
"Psmb2",5.26634657654188e-07,0.504247407773462,1,1,0.0193554035727644
"Rnaseh2a",5.26634657654188e-07,-0.992355369061656,1,1,0.0193554035727644
"Gm2016",5.27619822881568e-07,-4.04576363746405,0.177,0.517,0.0193916113503663
"H2-DMb1",5.49981564967638e-07,-0.348368051818968,0.101,0.466,0.0202134724572556
"Coro1c",5.51034073065232e-07,0.56592724435532,1,0.983,0.0202521552873665
"Snap47",5.56932290831881e-07,0.73179333899998,0.975,0.707,0.0204689324849441
"Gm10800",5.63638957641768e-07,-2.89918619860244,1,1,0.0207154226102079
"Sun1",5.63638957641768e-07,-1.35085859480314,1,1,0.0207154226102079
"Fsd1",5.73672647385555e-07,0.256722094944315,0.734,0.276,0.0210841908093613
"Pcolce",5.75098504609355e-07,-0.955905071913327,0.861,0.948,0.0211365953399076
"Zfp365",5.84435436275183e-07,0.417465513915221,0.696,0.241,0.0214797555894218
"Mmadhc",5.86756264133832e-07,0.57576579897208,1,0.828,0.0215650529757107
"Serbp1",5.89687854452833e-07,0.632811876453598,1,1,0.021672797714705
"Ankrd49",5.97597814245088e-07,0.48984013057869,0.987,0.741,0.0219635124669497
"Gm10039",6.16895318786934e-07,-0.363570790145492,1,1,0.0226727536513762
