"","GeneID","Cluster"
"460","Crlf2","cluster5"
"461","Zfand5","cluster5"
"462","Ptpre","cluster5"
"463","Was","cluster5"
"464","Rnf115","cluster5"
"465","Hhex","cluster5"
"466","Flot1","cluster5"
"467","Ifi27l1","cluster5"
"468","Dock8","cluster5"
"469","Rapgef6","cluster5"
"470","Mtus1","cluster5"
"471","9430023L20Rik","cluster5"
"472","Hdc","cluster5"
"473","Unc119","cluster5"
"474","Sft2d1","cluster5"
"475","Gyg","cluster5"
"476","Krcc1","cluster5"
"477","Gnai3","cluster5"
"478","Rgs18","cluster5"
"479","Chmp5","cluster5"
"480","Rab27a","cluster5"
"481","9530068E07Rik","cluster5"
"482","Ralb","cluster5"
"483","Tmem9b","cluster5"
"484","Lyst","cluster5"
"485","Oaz2","cluster5"
"486","Amfr","cluster5"
"487","Lyn","cluster5"
"488","Jak1","cluster5"
"489","Sirpa","cluster5"
"490","Csf3r","cluster5"
"491","Rassf5","cluster5"
"492","Lypla2","cluster5"
"493","Osbpl9","cluster5"
"494","Med31","cluster5"
"495","Taf7","cluster5"
"496","1700020I14Rik","cluster5"
"497","Chmp3","cluster5"
"498","Bcl10","cluster5"
"499","Rin3","cluster5"
"500","Clk1","cluster5"
"501","Ccm2","cluster5"
"502","Mtmr6","cluster5"
"503","Kctd10","cluster5"
"504","March2","cluster5"
"505","Cab39","cluster5"
"506","Ppt1","cluster5"
"507","Scamp2","cluster5"
"508","Tmod3","cluster5"
"509","Srpk2","cluster5"
"510","Kctd12","cluster5"
"511","Dleu2","cluster5"
"512","Ehbp1l1","cluster5"
"513","Dnajc5","cluster5"
"514","Ppp3ca","cluster5"
"515","Sun2","cluster5"
"516","Tmem38b","cluster5"
"517","Hk3","cluster5"
"518","Pstpip1","cluster5"
"519","Atp6v1e1","cluster5"
"520","Grn","cluster5"
"521","Hexb","cluster5"
"522","Atp6v1d","cluster5"
"523","Xpc","cluster5"
"524","Plin3","cluster5"
"525","Nt5c3","cluster5"
"526","Tnfrsf21","cluster5"
"527","Tst","cluster5"
"528","Syf2","cluster5"
"529","Rinl","cluster5"
"530","Prkag1","cluster5"
"531","Usp39","cluster5"
"532","Gcc2","cluster5"
"533","Pxn","cluster5"
"534","Rab4b","cluster5"
"535","Zfand6","cluster5"
"536","Plekhf2","cluster5"
"537","Snx6","cluster5"
"538","Grb2","cluster5"
"539","Map2k1","cluster5"
"540","Rnf166","cluster5"
"541","Rnf5","cluster5"
"542","Shc1","cluster5"
"543","Ap1m1","cluster5"
"544","H2-Ke6","cluster5"
"545","Tcn2","cluster5"
"546","Ccdc125","cluster5"
"547","Zdhhc3","cluster5"
"548","App","cluster5"
"549","4930523C07Rik","cluster5"
"550","Akirin1","cluster5"
"551","0610037P05Rik","cluster5"
"552","Ubxn6","cluster5"
"553","BC037034","cluster5"
"554","Sort1","cluster5"
"555","Sgms2","cluster5"
"556","Dram1","cluster5"
"557","Rgl2","cluster5"
"558","Nfyb","cluster5"
"559","Lrch4","cluster5"
"560","Nck1","cluster5"
"561","2610507I01Rik","cluster5"
"562","Arfgef1","cluster5"
"563","Lyrm2","cluster5"
"564","Mark2","cluster5"
"565","Ppp1r12a","cluster5"
"566","Mafg","cluster5"
"567","Ap2a2","cluster5"
"568","Agtrap","cluster5"
"569","Plcg2","cluster5"
"570","Vps26b","cluster5"
"571","Lpgat1","cluster5"
"572","Tbc1d10b","cluster5"
"573","Lmo1","cluster5"
"574","Kras","cluster5"
"575","Acap1","cluster5"
"576","Pdzd8","cluster5"
"577","Gsk3b","cluster5"
"578","Rsbn1l","cluster5"
"579","Cpne2","cluster5"
"580","F630028O10Rik","cluster5"
"581","1110008P14Rik","cluster5"
"582","Vamp5","cluster5"
"583","Tmem40","cluster5"
"584","Fam132a","cluster5"
"585","Ugdh","cluster5"
"586","Hvcn1","cluster5"
"587","Galns","cluster5"
"588","Ptplb","cluster5"
"589","Sema4a","cluster5"
"590","Ncam1","cluster5"
"591","Atp2a3","cluster5"
"592","Neu1","cluster5"
"593","Ptgs1","cluster5"
"594","Fbxl14","cluster5"
"595","Mbnl3","cluster5"
"596","Asf1b","cluster5"
"597","Cdk2","cluster5"
"598","Ada","cluster5"
"599","Myo5a","cluster5"
"600","Itsn2","cluster5"
"601","Zcchc6","cluster5"
"602","Stk4","cluster5"
"603","Ppp1r15b","cluster5"
"604","Stk38","cluster5"
"605","Ifngr2","cluster5"
"606","Hpcal1","cluster5"
"607","Cfp","cluster5"
"608","Tnfaip8l2","cluster5"
"609","Nr3c1","cluster5"
"610","Ptpn1","cluster5"
"611","Klhl6","cluster5"
"612","Irf2","cluster5"
"613","4933407C03Rik","cluster5"
"614","Tmx3","cluster5"
"615","Rab8b","cluster5"
"616","Cytip","cluster5"
"617","Ier3","cluster5"
"618","Phactr2","cluster5"
"619","Add1","cluster5"
"620","Dock11","cluster5"
"621","Cpne1","cluster5"
"622","Ccndbp1","cluster5"
"623","Dennd5a","cluster5"
"624","Ints12","cluster5"
"625","Zfand3","cluster5"
"626","Larp4b","cluster5"
"627","Syk","cluster5"
"628","Pqlc1","cluster5"
"629","Ccdc88b","cluster5"
"630","Lcp2","cluster5"
"631","Rp2h","cluster5"
"632","Cd82","cluster5"
"633","Gas7","cluster5"
"634","Capn1","cluster5"
"635","Gadd45g","cluster5"
"636","Map1lc3a","cluster5"
"637","Apobr","cluster5"
"638","Ccng2","cluster5"
"639","Olfml2b","cluster5"
"640","Id1","cluster5"
"641","0610030E20Rik","cluster5"
"642","1600014C10Rik","cluster5"
"643","Sdccag3","cluster5"
"644","Igf1r","cluster5"
"645","Mxi1","cluster5"
"646","Gapvd1","cluster5"
"647","Pdlim2","cluster5"
"648","Armc8","cluster5"
"649","Gm14005","cluster5"
"650","Cast","cluster5"
"651","Zfand2b","cluster5"
"652","Lnp","cluster5"
"653","Stat3","cluster5"
"654","Slc40a1","cluster5"
"655","Gbe1","cluster5"
"656","Rasa2","cluster5"
"657","Gys1","cluster5"
"658","Irak3","cluster5"
"659","Unc13d","cluster5"
"660","Tnrc6b","cluster5"
"661","Msl1","cluster5"
"662","Il16","cluster5"
"663","Fmnl1","cluster5"
"664","D1Ertd622e","cluster5"
"665","Txnip","cluster5"
"666","Stk17b","cluster5"
"667","Cxcr4","cluster5"
"668","Il17ra","cluster5"
"669","Pten","cluster5"
"670","Rala","cluster5"
"671","Add3","cluster5"
"672","Rnf167","cluster5"
"673","Rell1","cluster5"
"674","Snx20","cluster5"
"675","Dhrs1","cluster5"
"676","Plaur","cluster5"
"677","AA467197","cluster5"
"678","Plbd1","cluster5"
"679","Lilrb3","cluster5"
"680","St3gal5","cluster5"
"681","AB124611","cluster5"
"682","Ptprc","cluster5"
"683","Dhrs7","cluster5"
"684","Degs1","cluster5"
"685","Lgals3","cluster5"
"686","Lsp1","cluster5"
"687","Slfn2","cluster5"
"688","Mxd1","cluster5"
"689","Samd9l","cluster5"
"690","Adpgk","cluster5"
"691","Cd177","cluster5"
"692","Lrg1","cluster5"
"693","Plp2","cluster5"
"694","Itgb2l","cluster5"
"695","Chi3l1","cluster5"
"696","Mapk13","cluster5"
"697","Pilra","cluster5"
"698","Padi4","cluster5"
"699","Retnlg","cluster5"
"700","S100a6","cluster5"
"701","Mmp8","cluster5"
"702","Arl2bp","cluster5"
"703","Fpr2","cluster5"
"704","Tcp11l2","cluster5"
"705","Gadd45a","cluster5"
"706","C5ar1","cluster5"
"707","Grina","cluster5"
"708","Tmcc1","cluster5"
"709","Cxcr2","cluster5"
"710","Trib1","cluster5"
"711","Sh3glb1","cluster5"
"712","Adrb2","cluster5"
"713","Tob1","cluster5"
"714","Xdh","cluster5"
"715","AI467606","cluster5"
"716","Stx11","cluster5"
"717","B430306N03Rik","cluster5"
